frame,object_id,object_type,object_x,object_y,player_direction,arrow_direction
1,0,player,1246,1196,NONE,NONE
1,1,arrow,1192,1155,NONE,NONE
1,2,arrow,1207,1110,NONE,NONE
1,3,player,118,726,UP-LEFT,NONE
1,4,player,620,713,UP-RIGHT,NONE
1,5,player,1380,176,UP-RIGHT,NONE
2,6,player,1241,1197,DOWN,NONE
2,7,arrow,1207,1110,NONE,NONE
2,8,arrow,1222,1071,NONE,NONE
2,9,player,123,731,UP-LEFT,NONE
2,10,player,619,700,UP-RIGHT,NONE
2,11,player,1380,179,UP-RIGHT,NONE
3,12,arrow,1222,1071,NONE,NONE
3,13,arrow,1354,793,NONE,NONE
4,14,player,1257,1196,DOWN,NONE
4,15,player,1356,792,UP,NONE
4,16,player,114,751,UP-LEFT,NONE
4,17,player,618,695,UP-RIGHT,NONE
4,18,arrow,290,481,NONE,NONE
4,19,player,570,451,UP,NONE
4,20,player,1379,290,UP-RIGHT,NONE
4,21,player,1380,181,UP,NONE
5,22,player,1260,1197,DOWN,NONE
5,23,arrow,135,808,NONE,NONE
5,24,player,1358,789,UP,NONE
5,25,arrow,294,475,NONE,NONE
5,26,player,570,446,UP-LEFT,NONE
5,27,player,1379,293,UP-RIGHT,NONE
6,28,player,1262,1197,DOWN,NONE
6,29,player,1363,784,UP,NONE
6,30,arrow,302,463,NONE,NONE
6,31,player,567,438,UP-LEFT,NONE
6,32,player,1378,299,UP-RIGHT,NONE
7,33,player,1262,1196,DOWN,NONE
7,34,arrow,310,452,NONE,NONE
7,35,player,563,430,UP,NONE
7,36,player,1378,306,UP-RIGHT,NONE
8,37,player,1262,1196,DOWN,NONE
8,38,player,1368,778,UP,NONE
8,39,arrow,318,440,NONE,NONE
8,40,player,556,414,UP-LEFT,NONE
8,41,player,1378,312,UP-RIGHT,NONE
9,42,player,1275,1197,DOWN,NONE
9,43,player,114,808,UP-LEFT,NONE
9,44,player,1371,775,UP-RIGHT,NONE
9,45,player,118,762,UP-LEFT,NONE
9,46,arrow,322,435,NONE,NONE
9,47,player,1386,431,UP-RIGHT,NONE
9,48,player,558,417,UP-LEFT,NONE
9,49,arrow,443,280,NONE,NONE
9,50,player,1378,316,UP-RIGHT,NONE
9,51,player,529,300,UP-LEFT,NONE
10,52,player,1285,1197,DOWN,NONE
10,53,player,116,807,UP-LEFT,NONE
10,54,player,119,761,UP,NONE
10,55,player,1400,533,UP-RIGHT,NONE
10,56,player,1386,431,UP,NONE
10,57,arrow,443,280,NONE,NONE
10,58,player,529,300,UP-LEFT,NONE
10,59,arrow,543,208,NONE,NONE
10,60,arrow,494,193,NONE,NONE
10,61,arrow,683,152,NONE,NONE
10,62,arrow,605,140,NONE,NONE
11,63,player,1284,1196,DOWN,NONE
11,64,arrow,144,808,NONE,NONE
11,65,player,1400,540,UP,NONE
11,66,arrow,547,204,NONE,NONE
11,67,arrow,493,199,NONE,NONE
11,68,arrow,494,179,NONE,NONE
11,69,arrow,561,158,NONE,NONE
11,70,arrow,683,152,NONE,NONE
11,71,arrow,714,139,NONE,NONE
11,72,player,613,132,UP-LEFT,NONE
12,73,player,1283,1197,DOWN,NONE
12,74,player,1400,550,UP,NONE
12,75,arrow,553,201,NONE,NONE
12,76,arrow,494,191,NONE,NONE
12,77,arrow,495,171,NONE,NONE
12,78,arrow,567,151,NONE,NONE
12,79,arrow,714,139,NONE,NONE
12,80,arrow,732,131,NONE,NONE
12,81,player,631,129,UP-LEFT,NONE
12,82,arrow,601,108,NONE,NONE
13,83,player,1284,1196,DOWN,NONE
13,84,player,1401,560,UP,NONE
13,85,arrow,558,200,NONE,NONE
13,86,arrow,494,184,NONE,NONE
13,87,arrow,495,164,NONE,NONE
13,88,arrow,571,144,NONE,NONE
13,89,arrow,732,131,NONE,NONE
13,90,arrow,755,121,NONE,NONE
13,91,player,642,118,UP-LEFT,NONE
13,92,arrow,609,98,NONE,NONE
14,93,player,1292,1196,DOWN,NONE
14,94,player,1401,572,UP,NONE
14,95,arrow,563,198,NONE,NONE
14,96,arrow,495,176,NONE,NONE
14,97,arrow,496,156,NONE,NONE
14,98,arrow,577,136,NONE,NONE
14,99,arrow,755,121,NONE,NONE
14,100,arrow,777,112,NONE,NONE
14,101,player,653,106,UP-LEFT,NONE
14,102,arrow,722,79,NONE,NONE
14,103,arrow,616,87,NONE,NONE
15,104,player,1287,1197,DOWN,NONE
15,105,player,1402,582,UP,NONE
15,106,arrow,569,197,NONE,NONE
15,107,arrow,495,169,NONE,NONE
15,108,arrow,496,149,NONE,NONE
15,109,arrow,582,129,NONE,NONE
15,110,arrow,777,112,NONE,NONE
15,111,arrow,644,101,NONE,NONE
15,112,arrow,670,94,NONE,NONE
15,113,arrow,625,76,NONE,NONE
16,114,player,1286,1197,DOWN,NONE
16,115,player,1402,593,UP,NONE
16,116,arrow,574,196,NONE,NONE
16,117,arrow,495,161,NONE,NONE
16,118,arrow,497,142,NONE,NONE
16,119,arrow,623,132,NONE,NONE
16,120,arrow,587,122,NONE,NONE
16,121,player,676,83,UP-LEFT,NONE
16,122,arrow,632,66,NONE,NONE
17,123,player,454,1189,DOWN,NONE
17,124,player,1294,1196,DOWN-RIGHT,NONE
17,125,arrow,83,808,NONE,NONE
17,126,arrow,141,808,NONE,NONE
17,127,player,1403,606,UP,NONE
17,128,arrow,580,195,NONE,NONE
17,129,arrow,496,153,NONE,NONE
17,130,arrow,497,133,NONE,NONE
17,131,arrow,634,125,NONE,NONE
17,132,arrow,666,82,NONE,NONE
17,133,arrow,696,70,NONE,NONE
17,134,arrow,641,54,NONE,NONE
18,135,player,1289,1199,DOWN,NONE
18,136,player,1310,1183,UP-RIGHT,NONE
18,137,player,1402,617,UP,NONE
18,138,arrow,641,120,NONE,NONE
18,139,arrow,683,66,NONE,NONE
18,140,arrow,712,59,NONE,NONE
18,141,arrow,648,44,NONE,NONE
19,142,player,1290,1196,DOWN,NONE
19,143,player,1403,626,UP,NONE
19,144,arrow,590,194,NONE,NONE
19,145,arrow,497,140,NONE,NONE
19,146,arrow,498,121,NONE,NONE
19,147,arrow,643,118,NONE,NONE
19,148,arrow,686,63,NONE,NONE
19,149,arrow,713,51,NONE,NONE
19,150,arrow,654,36,NONE,NONE
20,151,player,1295,1197,DOWN,NONE
20,152,player,1404,637,UP,NONE
20,153,arrow,595,193,NONE,NONE
20,154,arrow,497,133,NONE,NONE
20,155,arrow,498,113,NONE,NONE
20,156,arrow,651,113,NONE,NONE
20,157,arrow,719,43,NONE,NONE
20,158,arrow,662,26,NONE,NONE
21,159,player,1290,1197,DOWN,NONE
21,160,player,1404,649,UP,NONE
21,161,arrow,498,126,NONE,NONE
21,162,arrow,616,114,NONE,NONE
21,163,arrow,499,106,NONE,NONE
21,164,arrow,711,41,NONE,NONE
21,165,arrow,743,30,NONE,NONE
21,166,arrow,669,18,NONE,NONE
22,167,player,1291,1196,DOWN,NONE
22,168,player,1404,659,UP,NONE
22,169,arrow,498,120,NONE,NONE
22,170,arrow,620,110,NONE,NONE
22,171,arrow,499,100,NONE,NONE
22,172,arrow,719,34,NONE,NONE
22,173,arrow,753,21,NONE,NONE
22,174,arrow,675,9,NONE,NONE
23,175,player,1293,1196,DOWN,NONE
23,176,player,1405,670,UP,NONE
23,177,arrow,499,114,NONE,NONE
23,178,arrow,500,94,NONE,NONE
23,179,arrow,764,12,NONE,NONE
23,180,arrow,678,5,NONE,NONE
24,181,player,1295,1196,DOWN,NONE
24,182,player,1405,681,UP,NONE
24,183,arrow,499,107,NONE,NONE
24,184,arrow,627,103,NONE,NONE
24,185,arrow,500,88,NONE,NONE
24,186,arrow,771,7,NONE,NONE
25,187,player,1293,1199,DOWN,NONE
25,188,player,1315,1187,UP-RIGHT,NONE
25,189,player,1406,692,UP,NONE
25,190,arrow,499,101,NONE,NONE
25,191,arrow,501,81,NONE,NONE
26,192,player,1294,1196,DOWN,NONE
26,193,player,1406,702,UP,NONE
26,194,arrow,500,95,NONE,NONE
26,195,arrow,501,75,NONE,NONE
27,196,player,1296,1197,DOWN,NONE
27,197,player,1407,713,UP,NONE
27,198,arrow,701,87,NONE,NONE
27,199,arrow,502,69,NONE,NONE
27,200,arrow,630,8,NONE,NONE
28,201,player,1297,1196,DOWN,NONE
28,202,player,1407,725,UP,NONE
28,203,arrow,501,83,NONE,NONE
28,204,arrow,708,83,NONE,NONE
28,205,arrow,502,63,NONE,NONE
28,206,arrow,634,6,NONE,NONE
29,207,player,1298,1197,DOWN,NONE
29,208,player,1407,736,UP,NONE
29,209,arrow,714,81,NONE,NONE
30,210,player,1304,1196,DOWN,NONE
30,211,player,1408,747,UP,NONE
30,212,arrow,720,78,NONE,NONE
